price_open,price_high,price_low,price_close,volume_traded,trades_count,time_close,time_open,time_period_start,time_period_end,market_cap
247.99,253.43,247.63,251.98,5174.87517461,1353,2015-10-13T11:59:54.0000000Z,2015-10-13T08:00:04.0000000Z,2015-10-13T08:00:00.000000Z,2015-10-13T12:00:00.0000000Z,3730867465.486119
252.1,252.58,250.1,250.66,3647.5562287599987,1119,2015-10-13T15:59:51.0000000Z,2015-10-13T12:00:00.0000000Z,2015-10-13T12:00:00.000000Z,2015-10-13T16:00:00.0000000Z,3711323275.2549844
250.66,251.3,250.1,250.84,1250.4354853700002,413,2015-10-13T19:59:50.0000000Z,2015-10-13T16:00:04.0000000Z,2015-10-13T16:00:00.000000Z,2015-10-13T20:00:00.0000000Z,3713988392.1046853
250.84,251.62,249.9,251.25,1912.8973230399997,430,2015-10-13T23:59:51.0000000Z,2015-10-13T20:00:04.0000000Z,2015-10-13T20:00:00.000000Z,2015-10-14T00:00:00.0000000Z,3720058936.0401134
251.08,251.38,250.1,250.26,1337.7391410700002,368,2015-10-14T03:59:58.0000000Z,2015-10-14T00:00:05.0000000Z,2015-10-14T00:00:00.000000Z,2015-10-14T04:00:00.0000000Z,3647157808.560657
250.27,252.5,250.23,252.28,1035.4330158699997,317,2015-10-14T07:59:50.0000000Z,2015-10-14T04:02:00.0000000Z,2015-10-14T04:02:00.000000Z,2015-10-14T08:00:00.0000000Z,3676596227.697924
252.28,252.37,250.11,251.31,870.3877111200003,482,2015-10-14T11:59:41.0000000Z,2015-10-14T08:00:04.0000000Z,2015-10-14T08:00:00.000000Z,2015-10-14T12:00:00.0000000Z,3662459957.122108
251.07,253.86,251.07,253.33,1892.57911069,793,2015-10-14T15:59:50.0000000Z,2015-10-14T12:00:04.0000000Z,2015-10-14T12:00:00.000000Z,2015-10-14T16:00:00.0000000Z,3691898376.259375
253.33,255.95,253.3,254.13,4015.370757849999,1246,2015-10-14T19:59:50.0000000Z,2015-10-14T16:00:05.0000000Z,2015-10-14T16:00:00.000000Z,2015-10-14T20:00:00.0000000Z,3703557156.115719
254.2,254.67,253.5,253.5,991.7572000499995,331,2015-10-14T23:59:51.0000000Z,2015-10-14T20:00:02.0000000Z,2015-10-14T20:00:00.000000Z,2015-10-15T00:00:00.0000000Z,3694375866.9788475
253.5,257.0,253.5,255.37,1845.6142064300002,740,2015-10-15T03:59:59.0000000Z,2015-10-15T00:01:40.0000000Z,2015-10-15T00:01:00.000000Z,2015-10-15T04:00:00.0000000Z,3721628264.8930507
255.37,256.61,253.6,253.93,1748.9883631200007,567,2015-10-15T07:59:50.0000000Z,2015-10-15T04:02:24.0000000Z,2015-10-15T04:02:00.000000Z,2015-10-15T08:00:00.0000000Z,3700642461.151633
253.59,256.89,253.44,255.69,1393.4934861499996,696,2015-10-15T11:59:50.0000000Z,2015-10-15T08:00:01.0000000Z,2015-10-15T08:00:00.000000Z,2015-10-15T12:00:00.0000000Z,3726291776.835589
255.68,257.5,254.9,255.82,2766.3577716400014,655,2015-10-15T15:59:50.0000000Z,2015-10-15T12:01:52.0000000Z,2015-10-15T12:01:00.000000Z,2015-10-15T16:00:00.0000000Z,3728186328.562244
255.83,255.99,254.36,255.1,1464.9149112200002,411,2015-10-15T19:59:41.0000000Z,2015-10-15T16:01:17.0000000Z,2015-10-15T16:01:00.000000Z,2015-10-15T20:00:00.0000000Z,3717693426.691535
254.89,255.5,254.04,255.19,1243.5017537599995,416,2015-10-15T23:59:40.0000000Z,2015-10-15T20:00:05.0000000Z,2015-10-15T20:00:00.000000Z,2015-10-16T00:00:00.0000000Z,3719005039.4253736
255.19,257.1,254.91,256.14,1230.1009162200003,812,2015-10-16T03:59:41.0000000Z,2015-10-16T00:00:55.0000000Z,2015-10-16T00:00:00.000000Z,2015-10-16T04:00:00.0000000Z,3649208220.3930454
255.89,257.37,255.8,257.24,1624.8646040799997,356,2015-10-16T07:59:51.0000000Z,2015-10-16T04:00:02.0000000Z,2015-10-16T04:00:00.000000Z,2015-10-16T08:00:00.0000000Z,3664879841.547229
257.27,262.04,257.07,260.51,3716.7865953600012,1333,2015-10-16T11:59:50.0000000Z,2015-10-16T08:00:08.0000000Z,2015-10-16T08:00:00.000000Z,2015-10-16T12:00:00.0000000Z,3711467297.160117
260.5,266.71,260.4,265.61,4335.61460391,1325,2015-10-16T15:59:57.0000000Z,2015-10-16T12:03:51.0000000Z,2015-10-16T12:03:00.000000Z,2015-10-16T16:00:00.0000000Z,3784126631.6022367
265.6,267.83,262.25,265.94,6669.909699130007,1887,2015-10-16T19:59:51.0000000Z,2015-10-16T16:00:56.0000000Z,2015-10-16T16:00:00.000000Z,2015-10-16T20:00:00.0000000Z,3788828117.948492
265.96,265.96,260.25,263.45,4389.565859380002,1311,2015-10-16T23:59:50.0000000Z,2015-10-16T20:00:05.0000000Z,2015-10-16T20:00:00.000000Z,2015-10-17T00:00:00.0000000Z,3753353266.4267507
263.47,267.49,262.77,267.41,5471.993921479999,1521,2015-10-17T03:59:50.0000000Z,2015-10-17T00:00:43.0000000Z,2015-10-17T00:00:00.000000Z,2015-10-17T04:00:00.0000000Z,3824297076.7437186
267.41,272.75,258.32,268.83,10945.514809019998,2796,2015-10-17T07:59:50.0000000Z,2015-10-17T04:00:06.0000000Z,2015-10-17T04:00:00.000000Z,2015-10-17T08:00:00.0000000Z,3844604850.7573156
269.92,271.93,268.0,270.03,4640.411956869999,1051,2015-10-17T11:59:50.0000000Z,2015-10-17T08:00:54.0000000Z,2015-10-17T08:00:00.000000Z,2015-10-17T12:00:00.0000000Z,3861766349.923736
270.03,275.19,270.01,274.48,7302.59003353,1527,2015-10-17T15:59:51.0000000Z,2015-10-17T12:01:57.0000000Z,2015-10-17T12:01:00.000000Z,2015-10-17T16:00:00.0000000Z,3925406909.3325453
274.5,274.5,264.0,267.72,9339.46182609,2529,2015-10-17T19:59:51.0000000Z,2015-10-17T16:00:01.0000000Z,2015-10-17T16:00:00.000000Z,2015-10-17T20:00:00.0000000Z,3828730464.0283775
267.88,275.0,267.49,272.9,5140.695130160003,1442,2015-10-17T23:59:50.0000000Z,2015-10-17T20:00:13.0000000Z,2015-10-17T20:00:00.000000Z,2015-10-18T00:00:00.0000000Z,3902810935.43009
272.9,274.66,270.35,271.14,2044.7759621200005,742,2015-10-18T03:59:50.0000000Z,2015-10-18T00:00:02.0000000Z,2015-10-18T00:00:00.000000Z,2015-10-18T04:00:00.0000000Z,4136553557.6725273
