date,open,high,low,close,volume,market_cap
2013-05-26T04:00:00.000000Z,129,129.47,128.11,129.47,673.9524087,1445807705.72437
2013-05-26T08:00:00.000000Z,129.46,130,128.7,129.84,471.5092997,1449939542.06575
2013-05-26T12:02:00.000000Z,129.84,130.2,129,130,1226.29002296,1451726282.10526
2013-05-26T16:05:00.000000Z,129.37,133,129.37,129.72,246.40332022,1448599487.03611
2013-05-26T20:06:00.000000Z,130.25,130.28,129.1,130.19,219.77924176,1453848035.90219
2013-05-27T00:01:00.000000Z,129.435,130.49,129.35,130.44,327.28416726,1456639817.21393
2013-05-27T04:17:00.000000Z,129.95,130.5,129.83,130.5,105.98083209,1457309844.72875
2013-05-27T08:01:00.000000Z,130.5,130.59,129.67,130.01,507.85364912,1451837953.35773
2013-05-27T12:00:00.000000Z,130.48,130.48,129.1,129.35,209.24759998,1444467650.69474
2013-05-27T16:00:00.000000Z,129.16,129.74,123,127.6,2041.57140392,1424925181.51255
2013-05-27T20:04:00.000000Z,127.13,127.6,124.97,126.78,232.61289282,1415768138.81004
2013-05-28T00:01:00.000000Z,126.16,126.95,124.5,124.5,438.74245626,1390307093.24696
2013-05-28T04:00:00.000000Z,124.49,126.27,124.2,126.26,273.19708376,1409961233.68162
2013-05-28T08:00:00.000000Z,126.25,127,125.31,125.68,436.26382001,1403484301.03838
2013-05-28T12:04:00.000000Z,125.66,127,123,125.78,1149.3512668,1404601013.56308
2013-05-28T16:05:00.000000Z,125.78,126.22,125.13,126,149.452445,1407057781.11741
2013-05-28T20:09:00.000000Z,126.04,126.85,125.5,126.69,126.8206579,1414763097.53781
2013-05-29T00:00:00.000000Z,126.73,126.86,125.67,125.88,273.2011919,1376012026.89161
2013-05-29T04:04:00.000000Z,126.66,127.2,126,127.1,482.57750384,1389348018.8904
2013-05-29T08:03:00.000000Z,127.09,127.3,125.68,127.27,160.9534884,1391206312.85745
2013-05-29T12:00:00.000000Z,127.29,140.68,126.13,127.97,1006.3593037,1398858111.54528
2013-05-29T16:04:00.000000Z,127.98,130.4,127.98,130.28,1064.81913836,1424109047.21512
2013-05-29T20:03:00.000000Z,130.29,130.5,127.85,129.79,582.20127432,1418752788.13364
2013-05-30T00:00:00.000000Z,129.8,130.29,128,128,128.2004041,1473967733.6646
2013-05-30T04:31:00.000000Z,129.74,130.16,128.8,129,182.9085452,1485483106.58385
2013-05-30T08:01:00.000000Z,129.6,130.1,129.05,129.8,387.0924202,1494695404.91925
2013-05-30T12:06:00.000000Z,129.6,131,128.25,129.6,935.5600957,1492392330.3354
2013-05-30T16:00:00.000000Z,129.65,130.9,124.15,126.5,2805.19491247,1456694674.28571
2013-05-30T20:05:00.000000Z,126.8,127.5,125.06,125.8,367.9261321,1448633913.24224
2013-05-31T00:03:00.000000Z,126.54,128.1,126,127.9,89.31,1472816196.37267
2013-05-31T04:06:00.000000Z,128.1,128.2,126.89,127.77,84.8109893,1471319197.89317
